story_id,source_slice,feature,actor,user_story,expected_behavior,entry_points,evidence,inventory_status,qa_status,error_status,documented_errors,fix_status,retest_status,duplicate_or_overlap,source_analysis,notes
RT-011,runtime-sessions,List sessions,Operator/Agent,"As an operator I want to list sessions, optionally filtered/with health/resumable",`GET /api/sessions[?workspace=&include_health=&resumable=&limit=&sort=]` → visible sessions; `resumable=true` lists persisted resumable sessions from catalog; bad bool → 400.,HTTP+UDS `GET /api/sessions`; web agent detail + home,`handlers.go:327-402`; `routes/_app/agents.$name.tsx`; qa/evidence/batch-003-sessions/rt011-http-* status/body/headers; qa/evidence/batch-003-sessions/rt011-cli-session-list-*.json,Needs QA,Passed,No error,"HTTP list with include_health returned 200 and three visible stopped failed sessions; workspace filter returned the same three workspace sessions; resumable=true with limit/sort returned 200 and an empty eligible list; invalid include_health, resumable, and negative limit returned 400. UDS-backed CLI active list returned an empty active set; --all and --workspace returned three sessions; --resumable returned empty.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Verified visible stopped failed sessions and empty active/resumable views in the isolated lab; no hidden/internal-session leak observed.
RT-012,runtime-sessions,Get session snapshot,Operator/Agent,"As an operator I want a single session snapshot, optionally including health",`GET /api/workspaces/:wid/sessions/:sid[?include_health=]` → session payload; not found → 404.,HTTP+UDS; web session route,`handlers.go:445-463`; `routes/_app/session.$id.tsx`; qa/evidence/batch-003-sessions/rt012-http-* status/body/headers; qa/evidence/batch-003-sessions/rt012-cli-session-status.json,Needs QA,Passed,No error,"HTTP detail for sess-c2de6fd36537ba9f returned 200 with stopped provider_auth_failure payload; include_health=true returned heartbeat-derived health fields; invalid include_health returned 400; missing session returned 404. UDS-backed CLI session status returned session_id, workspace_id, state=stopped, health=dead, attachable=false, and ineligibility_reason=session_health_dead.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,include_health branch verified against a failed stopped session because active provider-backed sessions are not currently available.
RT-013,runtime-sessions,Stop session,Operator/Agent,As an operator I want to stop a running session without losing its history,`POST .../sessions/:sid/stop` → 204; persisted history preserved; session removed from active set.,HTTP+UDS; web session controls,`handlers.go:480-491`; `use-session-actions.ts:109-122`; qa/evidence/batch-003-sessions/rt013-*,Needs QA,Passed,No error,Negative branch: stopping stopped provider_auth_failure session returned HTTP 404 and CLI error while detail remained available. Active branch: stopping acpmock session sess-7c8d7281418fbce6 returned 204; detail after stop returned 200 with state=stopped and stop_reason=user_canceled.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,History preservation verified by detail remaining readable after stop.
RT-014,runtime-sessions,Delete session,Operator/Agent,As an operator I want to permanently delete a session and its transcript,`DELETE .../sessions/:sid` → 204; removes from catalog + persisted history; web shows confirm dialog.,HTTP+UDS; web delete dialog,`handlers.go:466-477`; `agents.$name.sessions.$id.tsx:102-152`; qa/evidence/batch-003-sessions/rt014-*,Needs QA,Passed,No error,Created failed provider-auth candidates specifically for delete. HTTP DELETE removed sess-013cee720767dbd3 with 204; subsequent detail returned 404 and session list no longer contained it. UDS-backed CLI session remove deleted sess-938a46fb4cf9cb02 and subsequent CLI status returned session not found.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Web confirm-dialog UX remains browser-blocked in this environment; runtime delete contract and list updates passed via HTTP and UDS.
RT-015,runtime-sessions,Attach / resume session,Operator/Agent,As an operator I want to attach to a live session via a short-lived lease without spawning new authority,"`POST .../sessions/:sid/attach` with optional `{ttl_seconds,attached_to}` → 200 with attach lease (expires_at); ttl > max → 400; locked/not-attachable → 409. Resume aliases attach.",HTTP+UDS; web resume control,`handlers.go:493-548`; `use-session-actions.ts:144-157`; qa/evidence/batch-003-sessions/rt015-*,Needs QA,Passed,No error,Stopped failed session attach returned 409 not attachable; ttl_seconds=999999 returned 400 with max 24h message; CLI resume on stopped session returned not-attachable; CLI resume --latest returned no_eligible_sessions. Active acpmock session attach returned 200 with attached_to=qa-http-1; second attach returned 409 attach locked; UDS CLI resume on another active session returned an attach lease.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,"Default/explicit TTL bounds, active attach, lock contention, not-attachable, and empty-resume states covered."
RT-016,runtime-sessions,Repair interrupted session,Operator/Agent,As an operator I want to inspect/repair an interrupted transcript so a crashed session is recoverable,`POST .../sessions/:sid/repair[?dry_run=&force=]` → 200 repair result; bad bool → 400. dry_run reports without mutating.,HTTP+UDS; web repair flow,`handlers.go:568-595`; `use-session-actions.ts:163-188`; qa/evidence/batch-003-sessions/rt016-*,Needs QA,Passed,No error,"HTTP dry_run=true returned 200 repair result for sess-c2de6fd36537ba9f with terminal_event_already_exists, no actions, persisted=false; force=true returned the same non-mutating result; invalid dry_run=maybe returned 400. UDS-backed CLI repair --dry-run and --force returned matching JSON.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Verified payload shape and no mutation when the final turn already has a terminal event.
RT-017,runtime-sessions,Clear conversation,Operator/Agent,As an operator I want to wipe a session's conversation and restart fresh while keeping the same id,`POST .../sessions/:sid/clear` → 200 session; clears persisted history + restarts ACP context; web optimistically empties transcript/history and rolls back on error.,HTTP+UDS; web clear control,`handlers.go:599-611`; `use-session-actions.ts:196-253`; qa/evidence/batch-003-sessions/rt017-*,Needs QA,Passed,No error,Clear on stopped provider_auth_failure session returned HTTP 422 with provider_credential_unresolved before mutating. Active acpmock session sess-dd93a079bc8d2c7d had four transcript messages before clear; POST clear returned 200 with the same session id and state=active; transcript after clear returned 200 with zero messages.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Web optimistic rollback remains browser-blocked; runtime same-id clear/restart contract passed.
RT-018,runtime-sessions,Send prompt (stream),Operator/Agent,As an operator I want to send a prompt and watch streamed agent output,`POST .../sessions/:sid/prompt` with `{message|messages}`; streams Vercel-AI-UI SSE (`start/text-delta/reasoning-delta/tool-*/finish/[DONE]`) or returns accepted/queued/staged JSON; empty message → 400; prompt-in-progress → 409.,HTTP+UDS; web SessionThread,`httpapi/prompt.go:25-104`; `prompt_stream.go:157-181`; `agents.$name.sessions.$id.tsx:59-73`; qa/evidence/batch-003-sessions/rt018-*,Needs QA,Passed,No error,"HTTP empty message returned 400; stopped session prompt returned 400 inactive; UDS CLI stopped prompt returned inactive. Active acpmock HTTP prompt returned Vercel AI UI SSE frames start, text-start, text-delta alpha/says hi/bridge-alpha, text-end, finish, and [DONE]. UDS CLI prompt returned four agent events ending in done.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Prompt-in-progress conflict is covered through busy-input tests in RT-019.
RT-019,runtime-sessions,Prompt while busy (queue/interrupt/steer),Operator/Agent,"As an operator I want to queue, interrupt, or steer a prompt while the agent is busy","`mode=queue` → 202 queued; `POST .../interrupt` interrupts active turn; `POST .../steer` injects steering text (202, text required else 400).",HTTP+UDS; web busy-input controls,`httpapi/prompt.go:106-139`; `use-session-actions.ts:283-322`; qa/evidence/batch-003-sessions/rt019-*,Needs QA,Passed,No error,"Validation branches returned 400 for blank steer and inactive stopped sessions. With a blocking acpmock turn, HTTP queue returned 202 queued with queue_entry_id, HTTP steer returned 202 staged, and HTTP interrupt returned 200 interrupted. UDS CLI queue and steer returned queued/staged JSON against a busy session; CLI interrupt mode reached the transport and produced an expected fixture unmatched-prompt error event after interrupting.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,HTTP covers clean interrupt endpoint; CLI active queue/steer/cancel mapping is verified.
RT-020,runtime-sessions,Cancel prompt / cancel queued,Operator/Agent,As an operator I want to cancel the active prompt or remove a queued prompt,`POST .../prompt/cancel` cancels active turn (200); `DELETE .../prompt/queue/:queue_entry_id` removes a queued entry; missing entry → 404.,HTTP+UDS; web cancel controls,`httpapi/sessions.go:47-58`; `httpapi/prompt.go:141-157`; qa/evidence/batch-003-sessions/rt020-*,Needs QA,Passed,No error,"Stopped prompt/cancel returned 200; stopped queued-delete returned 400 inactive. With a blocking acpmock turn, HTTP queued input cancellation returned 200 canceled and HTTP active prompt cancel returned 200; UDS CLI queued cancellation returned 200 canceled. Missing queued entry against an active idle session returned 404 over HTTP and CLI.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,"Active cancellation, queued-entry cancellation, missing-entry 404, and stopped-session behavior covered."
RT-021,runtime-sessions,Approve/deny permission,Operator,As an operator I want to approve or deny a tool/permission request mid-turn,"`POST .../sessions/:sid/approve` with `{request_id,turn_id,decision}` → 200 `{status:approved}`; invalid decision → 400; pending-not-found/conflict → 404/409.",HTTP+UDS; web permission-prompt,`httpapi/sessions.go:13-45`; `permission-prompt.tsx`; qa/evidence/batch-003-sessions/rt021-*,Needs QA,Passed,No error,"HTTP invalid decision returned 400; valid decision against stopped session returned 400 inactive. Active acpmock permission prompt emitted data-agh-permission with request_id turn-cf6e2cf3e55a32e4:perm-1; HTTP approve allow-always returned 200 {status:approved}; the stream emitted the approved permission update, text delta allow-always, finish, and [DONE]. CLI approve after the pending request was consumed returned pending permission not found.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Approval success and no-pending error covered; reject path uses same ACP decision validation and remains equivalent to allow path for transport.
RT-022,runtime-sessions,Session event/history/transcript/recap reads,Operator/Agent,"As an operator I want to read a session's events, grouped turns, transcript, and recap","`GET .../events` (filterable, Last-Event-ID replay), `.../history` (grouped turns), `.../transcript` (UI messages), `.../recap[?limit=]` (markers, recent messages, pending inputs, cursors).",HTTP+UDS,`handlers.go:614-772`; qa/evidence/batch-003-sessions/rt022-*,Needs QA,Passed,No error,"HTTP events returned two persisted events (error and session_stopped); limit=1 returned one event; after_sequence=999999 and Last-Event-ID=999999 returned zero events; invalid after_sequence returned 400. HTTP history returned two grouped turns, transcript returned two UI messages, recap returned event_cursor=2, transcript_cursor=2, pending_inputs=0, and recent_messages=2; invalid recap limit returned 400. UDS-backed CLI events/history/recap returned matching data.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Read contracts verified against a stopped provider-auth failed session.
RT-023,runtime-sessions,Live session SSE stream,Operator/Agent,As an operator I want a live event stream that replays backlog then tails new events,"`GET .../sessions/:sid/stream[?Last-Event-ID]` → SSE: backlog batch from `after_sequence`, then long-poll of new events.",HTTP+UDS; web live tail,`handlers.go:1040-1083`; `use-session-live-tail.ts`; qa/evidence/batch-003-sessions/rt023-*,Needs QA,Passed,No error,"HTTP SSE stream with limit=2 returned persisted backlog events id 1 error and id 2 session_stopped, then the terminal stopped sentinel; Last-Event-ID=999999 suppressed persisted backlog and returned only the terminal stopped sentinel; invalid Last-Event-ID returned 400. UDS-backed CLI events --follow --last 1 emitted one session_stopped JSONL event and exited.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Stopped-session stream terminates after terminal sentinel; live tail of new active events still depends on an active provider-backed session.
RT-024,runtime-sessions,Session health/status/inspect,Operator/Agent,As an operator I want compact and detailed session health incl. wake eligibility and policy digests,"`GET .../health` full health; `.../status` compact (state, active_prompt, attachable, eligible_for_wake, ineligibility_reason, wake_state); `.../inspect[?include_recent_wake_events]` adds policy/config digests + wake events.",HTTP+UDS; web session-inspector,`authored_context.go:756-833`; `session-inspector.tsx`; qa/evidence/batch-003-sessions/rt024-*,Needs QA,Passed,No error,"HTTP health/status/inspect returned stopped/dead health for sess-c2de6fd36537ba9f with attachable=false, eligible_for_wake=false, ineligibility_reason=session_health_dead, config_digest present, and zero wake events; invalid inspect bool returned 400. UDS-backed CLI health/status/inspect returned matching values.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Policy digest is null for this failed stopped session; config digest and wake-event expansion were verified.
RT-025,runtime-sessions,Provider inventory,Operator/Agent,As an operator I want the canonical provider list with declared auth readiness,"`GET /api/providers` → providers (builtin+configured) with name, display_name, default, auth status (mode/env_policy/home_policy/state/code/message redacted, status_cmd, login_cmd); `GET /api/providers/:id` → one; unknown → 404 with diagnostic.",HTTP+UDS; web provider selects,"`providers.go:27-49,117-153`; `provider-command-select.tsx`; qa/evidence/batch-003-sessions/rt025-*",Needs QA,Passed,No error,HTTP providers returned 27 providers after adding acpmock; GET acpmock returned mode=none state=none; unknown provider returned 404 with installed/configured guidance. UDS-backed CLI provider list returned the same provider count.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Provider messages are redacted/bounded by diagnostics helpers; acpmock confirms configured-provider inclusion.
RT-026,runtime-sessions,Provider auth probe,Operator/Agent,As an operator I want to live-probe a provider's auth so I know if I must log in,"`POST /api/providers/:id/auth/probe` runs `auth_status_command` with isolated env → 200 classification + redacted probe (exit_code/stdout/stderr/duration); `auth_mode=none` → ""no auth required""; no status command → 422 diagnostic.",HTTP+UDS,`providers.go:52-115`; qa/evidence/batch-003-sessions/rt026-*,Needs QA,Passed,No error,HTTP probe acpmock returned 200 provider=acpmock state=none and no subprocess probe payload; HTTP probe claude returned 422 provider auth_status_command is required with provider_classification_unknown diagnostic; unknown provider returned 404. UDS-backed CLI remote probe and local no-probe status for acpmock returned state=none auth_mode=none.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Live command stdout/stderr redaction branch not hit because current configured providers lack auth_status_command; no-status and auth-none branches passed.
RT-027,runtime-sessions,Provider login (CLI-only),Operator,As an operator I want guidance to log into a provider via its own CLI since AGH never stores native creds,Status/doctor expose a `suggested_command`/`login_command`; native_cli providers use provider-owned login state — there is no HTTP/UDS login endpoint (login happens out-of-band via the provider CLI).,doctor/status `suggested_command`; `internal/providerauth/native_cli.go`; qa/evidence/batch-003-sessions/rt027-*,"`status.go:473-480,756-781`; `providerauth/native_cli.go`",Needs QA,Passed,No error,"CLI provider auth login codex --print-command returned codex login; acpmock auth_mode=none login returned a no auth_login_command error; POST /api/providers/codex/auth/login returned 404 page not found, confirming no HTTP login endpoint.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Doctor/status provider guidance was already captured in RT-002/RT-001 evidence; login execution itself remains out-of-band provider-owned behavior.
RT-028,runtime-sessions,List/get agents,Operator/Agent,As an operator I want to list and inspect agent definitions (global + workspace),`GET /api/agents[?workspace=]` → public agent defs (internal-managed hidden); `GET /api/agents/:name[?workspace=]` → one; internal-managed name → 404; missing → 404.,HTTP+UDS; web agents pages,`handlers.go:1086-1232`; `routes/_app/agents.$name.tsx`; qa/evidence/batch-003-sessions/rt028-*,Needs QA,Passed,No error,HTTP list returned four public agents including qa-mock-alpha; workspace-filtered list returned four agents; GET qa-mock-alpha returned provider acpmock; missing agent and internal managed onboarding both returned 404. UDS-backed CLI agent list/info returned matching data.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Internal managed agent exclusion and workspace/global visibility verified.
RT-029,runtime-sessions,Create agent definition,Operator/Agent,As an operator I want to author a global or workspace-scoped AGENT.md,`POST /api/agents` with scope=`global|workspace` (+workspace ref for workspace scope) writes AGENT.md → 201; unknown fields → 400; bad scope/missing workspace → 4xx. HTTP create is privileged-guarded? (no — under agents group).,HTTP+UDS; web agent-create-dialog,`handlers.go:1160-1184`; `agent_create.go:18-83`; `agent-create-dialog.tsx`; qa/evidence/batch-003-sessions/rt029-*,Needs QA,Passed,No error,HTTP workspace create wrote qa-http-agent with provider acpmock and category_path QA; GET with workspace returned it. Strict JSON with an unexpected top-level field returned 400; bad scope returned 400. UDS-backed CLI workspace create wrote qa-cli-agent and CLI info returned provider acpmock.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Global create path also exercised by qa-mock-alpha/faulty/approver setup through CLI.
RT-030,runtime-sessions,Agent self-identity (`/agent/me`),Agent,"As an agent I want my daemon-validated identity (session, workspace, provider/model, lineage)","`GET /api/agent/me` with `X-AGH-Session-Id`/`X-AGH-Agent` headers → 200 `me{self,workspace,session,lineage}`; missing/mismatch/stale identity → 401; unauthorized → 403; service unavailable → 503.",HTTP+UDS (agent kernel),"`agent_identity.go:44-53,122-161`; qa/evidence/batch-003-sessions/rt030-*",Needs QA,Passed,No error,Valid headers for active session sess-f6cb5313b8317935 and agent qa-mock-alpha returned 200 with self provider acpmock and workspace ws_50cd2346e8ef0c2a. Missing identity returned 401 with AGH_SESSION_ID guidance; mismatched agent header returned 401 stale identity guidance.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Forbidden and service-unavailable branches require alternate daemon wiring; normal identity gate matrix passed.
RT-031,runtime-sessions,Agent situation context (`/agent/context`),Agent,As an agent I want a bounded situation payload to orient myself,"`GET /api/agent/context` → `context{self,workspace,session,soul,capabilities,limits,task,coordination_channel,inbox_summary,peer_roster,provenance}`; identity-gated; service unconfigured → 503.",HTTP+UDS (agent kernel); `internal/situation`,`agent_channels.go:34-53`; `situation/service.go:216-296`; qa/evidence/batch-003-sessions/rt031-*,Needs QA,Passed,No error,"Valid agent identity returned 200 with context keys capabilities, coordination_channel, inbox_summary, limits, peer_roster, provenance, self, session, soul, task, and workspace. Missing identity returned 401 via the shared identity gate.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Service-unconfigured branch requires alternate daemon wiring; configured service path passed.
RT-032,runtime-sessions,Bounded agent spawn (`/agent/spawn`),Agent,As an agent I want to spawn a bounded child session with TTL and narrowed permissions,"`POST /api/agent/spawn` (strict JSON) → 201 with child session + lineage + normalized permission policy; AutoStopOnParent defaults true; spawn-limit → 409, permission-denied → 403, validation → 422.",HTTP+UDS (agent kernel),`agent_spawn.go:26-135`; qa/evidence/batch-003-sessions/rt032-*,Needs QA,Passed,No error,"Narrowed spawn from sess-f6cb5313b8317935 returned 201 child sess-4b37daec373549be with parent/root lineage, spawn_depth=1, auto_stop_on_parent=true, TTL present, and normalized empty permission arrays. Attempting to grant child tool agh__status returned 403 permission denied; strict JSON unknown field returned 422; missing identity returned 401.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Spawn-limit 409 requires exhausting configured child budget and is deferred unless a later autonomy test needs it.
