id,current_qa_status,triage_category,triage_reason,title,source,qualification,journey,persona,expected,last_report,evidence,bug_ids,charters,disposition,new_evidence,notes
ET-001,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Skills list (scoped),docs/qa/scenarios/ET-001.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-agent-marketplace-parity,Bruno,`GET /api/skills` returns `{skills:[...]}`; `?workspace=` projects workspace scope; `?for_agent=` projects agent scope (empty `for_agent` → 400). 503 when registry unconfigured.,docs/qa/reports/2026-07-28-untested-full.md,"internal/api/core/skills.go:18-42,415-459; web/src/routes/_app/skills.tsx:106-136; qa/evidence/batch-013-skills-core/et001-et006.json; qa/evidence/batch-013-skills-core/et001-et006-summary.json; /Users/pedronauck/dev/qa-labs/compozy-northstar-pay-20260729-021949-664736-lab/qa-artifacts/qa/evidence/011-skill-scope-content; /Users/pedronauck/dev/qa-labs/compozy-northstar-pay-20260729-021949-664736-lab/qa-artifacts/qa/evidence/014-skills-browser;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa",BUG-20260729-skill-workspace-error-mapping,CH-untested-valid-017-agent-marketplace-parity-bruno;CH-runnable-capabilities-truth,pending,,Not executed in this round.
ET-012,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Skill settings: disabled-skill tombstones,docs/qa/scenarios/ET-012.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-agent-marketplace-parity,Bruno,`GET/PATCH /api/settings/skills`; disabled list applies immediately (no restart); agent scope scopes to one agent + optional workspace context.,docs/qa/reports/2026-07-28-untested-full.md,"`internal/api/core/settings.go:81-93`; `settings/skills.tsx:143-175,319-411`; qa/evidence/batch-015-skills-settings/et012-et013.json; qa/evidence/batch-015-skills-settings/et012-et013-summary.json; /Users/pedronauck/dev/qa-labs/compozy-northstar-pay-20260729-021949-664736-lab/qa-artifacts/qa/evidence/014-skills-browser;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa",BUG-20260729-skill-agent-default-selection,CH-untested-047-agent-marketplace-parity-bruno,pending,,Not executed in this round.
ET-013,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Skill settings: registry policy,docs/qa/scenarios/ET-013.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-extension-policy-admin,Vera,PATCH persists policy (restart required to apply for `enabled`/poll); allowlists `allowed_marketplace_mcp` / `allowed_marketplace_hooks`.,docs/qa/reports/2026-07-28-untested-full.md,`settings/skills.tsx:441-578`; qa/evidence/batch-015-skills-settings/et012-et013.json; qa/evidence/batch-015-skills-settings/et012-et013-summary.json; /Users/pedronauck/dev/qa-labs/compozy-northstar-pay-20260729-021949-664736-lab/qa-artifacts/qa/evidence/015-skill-policy-update-remove;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa,BUG-20260729-skill-policy-normalized-dirty,CH-untested-060-extension-policy-admin-vera,pending,,Not executed in this round.
ET-016,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Extension marketplace search,docs/qa/scenarios/ET-016.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-agent-marketplace-parity,Ada,"Extension search returns curated and GitHub rows with truthful installed/update state, stable pagination, and explicit non-blocking source degradation; invalid limits return 400.",docs/qa/reports/2026-07-28-untested-full.md,"`extensions.go:68-90,328-339`; `hooks-extensions.tsx:744-869`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json; qa/issues/BUG-008.md; /Users/pedronauck/dev/qa-labs/compozy-marketplace-task11-final-20260715-20260716-011529-818379-lab/qa-artifacts/qa/notes/marketplace-agent-parity-final.json; /Users/pedronauck/dev/qa-labs/compozy-northstar-pay-20260729-021949-664736-lab/qa-artifacts/qa/evidence/016-extensions-lifecycle; /Users/pedronauck/dev/qa-labs/compozy-marketplace-unavailable-20260729-20260729-055928-922274-lab/qa-artifacts/qa/evidence/001-marketplace-unavailable;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa",BUG-0008,CH-agent-marketplace-parity,pending,,Not executed in this round.
ET-017,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Install an extension from the source union,docs/qa/scenarios/ET-017.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-extension-distribution,Ada,"`POST /api/extensions` accepts exactly one generated `{source,ref,version?,asset?,allow_unverified?}` variant for curated, GitHub, git, or local_path; source grammar, integrity, and consent failures write nothing, while success records truthful source provenance.",docs/qa/reports/2026-07-28-untested-full.md,"`extensions.go:93-128,214-240`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json; /Users/pedronauck/dev/qa-labs/compozy-northstar-pay-20260729-021949-664736-lab/qa-artifacts/qa/evidence/016-extensions-lifecycle;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa",,CH-extension-distribution-integrity;CH-extension-policy-admin-gates;CH-untested-valid-020-extension-policy-admin-ada,pending,,Not executed in this round.
ET-047,blocked-verify,separate_prerequisite_or_review,external_oauth,MCP OAuth/PKCE login/logout/status,docs/qa/scenarios/ET-047.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-mcp-authorize-repair,Ada,"Daemon-owned S256 PKCE returns a live authorization URL, completes through a single-use loopback callback or manual exchange, reports only redacted scoped status, and removes only the selected credential on logout.",docs/qa/reports/2026-07-30-mcp-2026-catalog-v2.md,qa/evidence/batch-022-mcp-native-parity/et046-et051-summary.json; qa/evidence/batch-022-mcp-native-parity/et046-et051.json; /Users/pedronauck/dev/qa-labs/compozy-marketplace-task11-final-20260715-20260716-011529-818379-lab/qa-artifacts/qa/notes/mcp-oauth-name-segment.json; /Users/pedronauck/dev/qa-labs/compozy-marketplace-task11-final-20260715-20260716-011529-818379-lab/qa-artifacts/qa/notes/mcp-manual-tty-redaction.json; /Users/pedronauck/dev/qa-labs/compozy-northstar-pay-20260729-021949-664736-lab/qa-artifacts/qa/evidence/023-mcp-catalog-install,BUG-20260715-mcp-oauth-name-segment; BUG-20260715-mcp-manual-tty-echo,CH-remote-operator-manual-auth;CH-untested-valid-021-mcp-authorize-repair-ada,pending,,Not executed in this round.
ET-050,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Set extension trust root,docs/qa/scenarios/ET-050.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-extension-policy-admin,Vera,`compozy__extensions_trust_root_set` updates trust-root config affecting subsequent install verification.,docs/qa/reports/2026-07-28-untested-full.md,qa/evidence/batch-022-mcp-native-parity/et046-et051-summary.json; qa/evidence/batch-022-mcp-native-parity/et046-et051.json;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa,,CH-untested-060-extension-policy-admin-vera,pending,,Not executed in this round.
ET-051,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Transport-parity 403 fallback (off-loopback),docs/qa/scenarios/ET-051.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,,Vera,Web renders a warning banner; mutating ops return HTTP 403 while remaining available over UDS/CLI.,,qa/evidence/batch-022-mcp-native-parity/et046-et051-summary.json; qa/bootstrap-manifest.json,,,pending,,Not executed in this round.
ET-053,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Follow model catalog guidance across docs and bundled skill,docs/qa/scenarios/ET-053.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-20,Ada,"Published model-catalog, provider, and config guidance plus bundled `skills/compozy/` describe curated/all views, curation, reasoning, independent five-rate pricing with no bucket fallback, and deterministic errors; following them reaches the real structured surfaces without undocumented repair steps.",docs/qa/reports/2026-07-29-site-improvs-deep-review.md,/Users/pedronauck/dev/qa-labs/compozy-model-selector-20260710-194713-914643-lab/qa-artifacts/qa/model-selector-evidence.md;docs/qa/reports/2026-07-10-model-selector.md,,CH-model-catalog-guidance-parity;CH-truthful-cost-provenance;CH-031,pending,,Not executed in this round.
ET-agent-plugin-marketplace-install,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Install an Agent Plugins catalog entry from Marketplace,docs/qa/scenarios/ET-agent-plugin-marketplace-install.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-marketplace-acquisition,Bruno,"A catalog entry marked `format: agent-plugin` shows a neutral Agent Plugin badge on the card and detail view, follows the normal trust and install flow, lands on extension management with format and skipped diagnostics visible, and still relies on acquired-package detection when catalog metadata is absent or stale.",docs/qa/reports/2026-08-16-agent-plugins.md,docs/qa/reports/2026-08-16-agent-plugins.md#marketplace-and-browser; /Users/pedronauck/.config/browser-harness/agent-workspace/recordings/agent-plugin-marketplace; /Users/pedronauck/dev/qa-labs/compozy-agent-plugins-20260816-20260816-061032-351590-lab/qa-artifacts/browser-screenshots/installed-agent-plugin.png; /Users/pedronauck/dev/qa-labs/compozy-agent-plugins-20260816-20260816-061032-351590-lab/qa-artifacts/browser-screenshots/agent-plugin-inventory.png,,CH-agent-plugin-marketplace,pending,,Not executed in this round.
ET-api-mcp-oauth-endpoints,blocked-verify,separate_prerequisite_or_review,external_oauth,Manage scoped MCP OAuth through daemon API routes,docs/qa/scenarios/ET-api-mcp-oauth-endpoints.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-mcp-authorize-repair,Ada,"HTTP and UDS begin/exchange/logout return equivalent redacted contracts for an explicit global or workspace target; begin requires `mode=automatic|manual`, resolves pre-registration then CIMD then one DCR fallback, and manual accepts only a full redirect URL for a fresh PKCE session. The lifecycle binds target/resource/issuer/redirect/scopes/fingerprint, validates state and RFC 9207 issuer, burns every exchange attempt, and preserves any prior token on failure. HTTP mutations require loopback privilege; the HTTP-only callback completes on loopback while refusing non-loopback binds; replacing or deleting a server invalidates pending target/callback completion and never sends its bearer to the replacement endpoint.",docs/qa/reports/2026-07-30-mcp-2026-catalog-v2.md,/Users/pedronauck/dev/qa-labs/compozy-mcp-2026-catalog-v2-final-rerun-20260730-204949-514647-lab/qa-artifacts/qa/notes/cli-mcp-install-linear.json; /Users/pedronauck/dev/qa-labs/compozy-mcp-2026-catalog-v2-final-rerun-20260730-204949-514647-lab/qa-artifacts/qa/notes/mcp-status-after-linear.json; /Users/pedronauck/dev/qa-labs/compozy-mcp-2026-catalog-v2-final-rerun-20260730-204949-514647-lab/qa-artifacts/qa/screenshots/mcp-guided-linear-installed.png,BUG-20260715-mcp-oauth-name-segment,CH-remote-operator-manual-auth;CH-untested-valid-021-mcp-authorize-repair-ada,pending,,Not executed in this round.
ET-cli-extension-sideload-policy-block,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Block unverified extension side-loads through structured CLI output,docs/qa/scenarios/ET-cli-extension-sideload-policy-block.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-extension-policy-admin,Ada,"With `extensions.trust.allow_unverified=false`, local side-loads fail before mutation and both human and JSON output carry the stable Settings › Extensions remediation and config command; enabling policy still requires request consent.",docs/qa/reports/2026-07-28-untested-full.md,/Users/pedronauck/dev/qa-labs/compozy-marketplace-task11-final-20260715-20260716-011529-818379-lab/qa-artifacts/qa/notes/extension-cli-slow-boot-reachability.json; docs/qa/reports/2026-07-15-marketplace.md;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa,BUG-20260715-extension-cli-slow-boot-offline,CH-extension-policy-admin-gates,pending,,Not executed in this round.
ET-cli-mcp-authorize,blocked-verify,separate_prerequisite_or_review,external_oauth,Authorize a remote MCP server through the daemon,docs/qa/scenarios/ET-cli-mcp-authorize.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-mcp-authorize-repair,Ada,"`compozy mcp auth login <name>` prints a live copyable URL, waits for a credential change, and exits successfully only when redacted status is `authenticated` with `token_present=true`; scope and workspace selectors target one exact server definition.",docs/qa/reports/2026-07-30-mcp-2026-catalog-v2.md,/Users/pedronauck/dev/qa-labs/compozy-marketplace-task11-final-20260715-20260716-011529-818379-lab/qa-artifacts/qa/notes/marketplace-agent-parity-final.json; /Users/pedronauck/dev/qa-labs/compozy-marketplace-task11-final-20260715-20260716-011529-818379-lab/qa-artifacts/qa/notes/mcp-oauth-name-segment.json; /Users/pedronauck/dev/qa-labs/compozy-northstar-pay-20260729-021949-664736-lab/qa-artifacts/qa/evidence/023-mcp-catalog-install,BUG-20260729-mcp-cli-json-parity,CH-mcp-authorize-repair-truth;CH-agent-marketplace-parity;CH-untested-valid-021-mcp-authorize-repair-ada,pending,,Not executed in this round.
ET-cli-tool-invoke-structural-handles,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Preserve public structural handles in generic CLI tool output,docs/qa/scenarios/ET-cli-tool-invoke-structural-handles.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-agent-marketplace-parity,Ada,"`compozy tool invoke <tool_id> -o json` preserves daemon-authored public IDs, digests, and continuation cursors while still redacting sensitive fields and secret-shaped free text.",docs/qa/reports/2026-07-28-untested-full.md,/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa,BUG-20260729-tool-invoke-structural-redaction,CH-cli-tool-structural-handles,pending,,Not executed in this round.
ET-compozy-extension-contract-identity,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,"Load only Compozy extension, package, and OpenAPI identities",docs/qa/scenarios/ET-compozy-extension-contract-identity.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-validate-compozy-hard-cut,Ada,"Extension loaders and real manifests accept only min_compozy_version, workspace packages use @compozy/*, the sole generated contract is openapi/compozy.json plus web/src/generated/compozy-openapi.d.ts, and SDK/scaffolder/site readers resolve those canonical names without aliases or a second daemon contract.",docs/qa/reports/2026-07-28-untested-full.md,/Users/pedronauck/dev/qa-labs/compozy-compozy-migration-beta-20260727-135201-116083-lab/qa-artifacts/qa/gate-test-e2e-web-final-2.log; /Users/pedronauck/dev/qa-labs/compozy-compozy-migration-beta-20260727-135201-116083-lab/qa-artifacts/qa/api-status.headers;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa,BUG-20260727-runtime-legacy-identity,CH-compozy-platform-hard-cut,pending,,Not executed in this round.
ET-connectivity-provider-trust,blocked-verify,separate_prerequisite_or_review,authorized_gateway,Govern a connectivity provider under extension trust rules,docs/qa/scenarios/ET-connectivity-provider-trust.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-extension-policy-admin,Vera,"A connectivity.provider manifest builds only with its declared gateway tier scopes, global source, and required service methods; enable and boot re-derive live source and digest, exact confirmation gates provider code, and updates, workspace sources, out-of-role claims, or a second provider fail closed without exposure.",docs/qa/reports/2026-08-07-remote-gateway.md,/Users/pedronauck/dev/qa-labs/compozy-remote-gateway-20260807-202655-957508-lab/qa-artifacts/qa/test-cases/12-private-provider-degraded-status.json;/Users/pedronauck/dev/qa-labs/compozy-remote-gateway-20260807-202655-957508-lab/qa-artifacts/qa/test-cases/33-provider-restart-rewalk.json;/Users/pedronauck/dev/qa-labs/compozy-remote-gateway-20260807-202655-957508-lab/qa-artifacts/qa/test-cases/41-extension-template-discovery.json,BUG-20260807-gateway-provider-cause;BUG-20260807-gateway-provider-boot;BUG-20260729-public-extension-sdks-unpublished,CH-gateway-provider-degradation,pending,,Not executed in this round.
ET-electron-session-copy-debug,blocked-verify,separate_prerequisite_or_review,platform_or_packaged_artifact,Copy Session text and open Electron diagnostics,docs/qa/scenarios/ET-electron-session-copy-debug.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-operate-desktop-shell,Bruno,"The packaged product window can copy the visible Session message through the OS clipboard because the exact daemon origin is allowed `clipboard-sanitized-write`; unrelated permission requests remain denied. `Ctrl+Opt+I` toggles DevTools for the product window, boot remains non-debuggable, and no remote-debugging endpoint is exposed.",docs/qa/reports/2026-08-25-eng-145-electron.md,docs/qa/reports/2026-08-25-eng-145-electron.md,,,pending,,Not executed in this round.
ET-ext-curated-digest-verify,blocked-verify,standard_local_execution_candidate,no_separate_external_prerequisite_identified,Verify a curated extension archive against the feed digest,docs/qa/scenarios/ET-ext-curated-digest-verify.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-extension-policy-admin,Ada,"A curated extension install downloads the feed's exact HTTPS artifact, hashes it before extraction, persists verified catalog/archive/tree provenance on a match, and hard-fails without install state on a mismatch even when unverified installs are allowed.",docs/qa/reports/2026-07-28-untested-full.md,/Users/pedronauck/dev/qa-labs/compozy-marketplace-task11-final-20260715-20260716-011529-818379-lab/qa-artifacts/qa/notes/extension-cli-slow-boot-reachability.json;/Users/pedronauck/dev/qa-labs/compozy-qa-et-current-source-20260730-061655-910372-lab/qa-artifacts/qa,BUG-20260715-extension-cli-slow-boot-offline,CH-extension-policy-admin-gates;CH-untested-valid-020-extension-policy-admin-ada,pending,,Not executed in this round.
ET-extension-agent-guided-authoring,blocked-verify,separate_prerequisite_or_review,published_sdk_recheck,Build a Compozy extension from the official skill without operator hand-holding,docs/qa/scenarios/ET-extension-agent-guided-authoring.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-extension-agent-authoring,Ada,"An agent session that activates the bundled `compozy` skill and reads `references/extension-authoring.md` completes scaffold, build, validate, dev, reload, logs, publish, search, provenance, install, invoke, update, and remove through native tools and structured output only, with no shell-out, hand-written manifest, invented permission/provide value, or credential in a tool transcript.",docs/qa/reports/2026-08-07-remote-gateway.md,/Users/pedronauck/dev/qa-labs/compozy-ext-improvs-final-20260729-230047-267985-lab/qa-artifacts/qa/extension-charters.json;/Users/pedronauck/dev/qa-labs/compozy-remote-gateway-20260807-202655-957508-lab/qa-artifacts/qa/test-cases/41-extension-template-discovery.json,BUG-20260729-public-extension-sdks-unpublished,CH-extension-agent-authoring,pending,,Not executed in this round.
ET-extension-agent-observer-resolution,blocked-verify,conditional_local_preparation,prepared_extension_layout_or_artifact,Observe a resource-defined agent after catalog changes,docs/qa/scenarios/ET-extension-agent-observer-resolution.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-extension-dev-lifecycle,Ada,"Global, workspace, and builtin agents resolve through the live resource catalog for provider authentication; changing the catalog invalidates observation authorization state; stopped-session events retain the persisted model, permission mode, and authentication owner without leaking another workspace.",docs/qa/reports/2026-08-20-pr-447-runtime-recovery.md,internal/observe/observer_test.go;internal/observe/observer_session_events_test.go;/Users/pedronauck/dev/qa-labs/compozy-pr-447-runtime-recovery-20260821-020432-748658-lab/qa-artifacts/qa/evidence/catalog-revision-observation.json;/Users/pedronauck/dev/qa-labs/compozy-pr-447-runtime-recovery-20260821-020432-748658-lab/qa-artifacts/qa/evidence/observe-isolation.json,,CH-extension-agent-observation,pending,,Not executed in this round.
